DATE,PCE_PC1
2000-01-01,7.72156
2000-02-01,8.62572
2000-03-01,9.02495
2000-04-01,7.73611
2000-05-01,7.66355
2000-06-01,7.77279
2000-07-01,7.64839
2000-08-01,7.43695
2000-09-01,7.86190
2000-10-01,7.52410
2000-11-01,7.15028
2000-12-01,6.28650
2001-01-01,6.79362
2001-02-01,5.68276
2001-03-01,4.63920
2001-04-01,4.86742
2001-05-01,5.11349
2001-06-01,4.78442
2001-07-01,4.63618
2001-08-01,4.68778
2001-09-01,1.71878
2001-10-01,4.62880
2001-11-01,3.94367
2001-12-01,3.08535
2002-01-01,2.82222
2002-02-01,3.19061
2002-03-01,3.52595
2002-04-01,4.40164
2002-05-01,3.34761
2002-06-01,3.57582
2002-07-01,4.30651
2002-08-01,4.08470
2002-09-01,5.48737
2002-10-01,3.08198
2002-11-01,3.91936
2002-12-01,4.92835
2003-01-01,4.96479
2003-02-01,4.47600
2003-03-01,5.08187
2003-04-01,4.40342
2003-05-01,4.95822
2003-06-01,5.14988
2003-07-01,5.00453
2003-08-01,5.92909
2003-09-01,6.25313
2003-10-01,5.81289
2003-11-01,6.14700
2003-12-01,5.72481
2004-01-01,6.17665
2004-02-01,6.51512
2004-03-01,6.40215
2004-04-01,6.19163
2004-05-01,6.87816
2004-06-01,5.94836
2004-07-01,6.18667
2004-08-01,5.34252
2004-09-01,6.21109
2004-10-01,6.73285
2004-11-01,6.58748
2004-12-01,6.96820
2005-01-01,6.12706
2005-02-01,6.45117
2005-03-01,6.16882
2005-04-01,7.04559
2005-05-01,6.05516
2005-06-01,7.30362
2005-07-01,7.48947
2005-08-01,6.99381
2005-09-01,6.70023
2005-10-01,6.44746
2005-11-01,5.94115
2005-12-01,5.60533
2006-01-01,6.75359
2006-02-01,6.27286
2006-03-01,6.21627
2006-04-01,5.91353
2006-05-01,6.46017
2006-06-01,5.78290
2006-07-01,5.53435
2006-08-01,5.56039
2006-09-01,5.33684
2006-10-01,5.09146
2006-11-01,5.07478
2006-12-01,5.64742
2007-01-01,5.14904
2007-02-01,5.16711
2007-03-01,5.24258
2007-04-01,4.91753
2007-05-01,4.91778
2007-06-01,4.82958
2007-07-01,4.35904
2007-08-01,4.88857
2007-09-01,5.00992
2007-10-01,5.20674
2007-11-01,5.91158
2007-12-01,5.10629
2008-01-01,4.79835
2008-02-01,4.34560
2008-03-01,4.40713
2008-04-01,4.42470
2008-05-01,4.60984
2008-06-01,4.94808
2008-07-01,4.45078
2008-08-01,3.84533
2008-09-01,2.75569
2008-10-01,1.53197
2008-11-01,-0.71013
2008-12-01,-1.71767
2009-01-01,-1.49254
2009-02-01,-1.57488
2009-03-01,-2.61178
2009-04-01,-2.95721
2009-05-01,-3.36251
2009-06-01,-3.28553
2009-07-01,-2.93370
2009-08-01,-1.68637
2009-09-01,-1.86430
2009-10-01,-0.57205
2009-11-01,1.01667
2009-12-01,2.56185
2010-01-01,2.12142
2010-02-01,2.73703
2010-03-01,3.91683
2010-04-01,4.19340
2010-05-01,4.28122
2010-06-01,3.84576
2010-07-01,3.86191
2010-08-01,3.02876
2010-09-01,4.02204
2010-10-01,4.10657
2010-11-01,4.48541
2010-12-01,4.16211
2011-01-01,4.55644
2011-02-01,4.43062
2011-03-01,4.56577
2011-04-01,4.61389
2011-05-01,4.51874
2011-06-01,4.53022
2011-07-01,4.51398
2011-08-01,4.29995
2011-09-01,4.41654
2011-10-01,4.01005
2011-11-01,3.57691
2011-12-01,3.31200
2012-01-01,3.63790
2012-02-01,4.23695
2012-03-01,3.52364
2012-04-01,3.43970
2012-05-01,3.13525
2012-06-01,2.75835
2012-07-01,2.65757
2012-08-01,2.84364
2012-09-01,2.98705
2012-10-01,3.09639
2012-11-01,3.43858
2012-12-01,3.35928
2013-01-01,3.20278
2013-02-01,2.68403
2013-03-01,2.50139
2013-04-01,2.18542
2013-05-01,2.61929
2013-06-01,2.99096
2013-07-01,2.99543
2013-08-01,2.90250
2013-09-01,2.77885
2013-10-01,2.94324
2013-11-01,3.15698
2013-12-01,3.37531
2014-01-01,2.64899
2014-02-01,2.95424
2014-03-01,3.78298
2014-04-01,4.24627
2014-05-01,4.28062
2014-06-01,4.58983
2014-07-01,4.69207
2014-08-01,5.11475
2014-09-01,4.82745
2014-10-01,4.97418
2014-11-01,4.57104
2014-12-01,4.40365
2015-01-01,4.26900
2015-02-01,4.02655
2015-03-01,3.73658
2015-04-01,3.68821
2015-05-01,3.86294
2015-06-01,3.65180
2015-07-01,3.77382
2015-08-01,3.34900
2015-09-01,3.27207
2015-10-01,2.71530
2015-11-01,2.81215
2015-12-01,3.02629
2016-01-01,3.45283
2016-02-01,3.66793
2016-03-01,3.08765
2016-04-01,3.41569
2016-05-01,3.19448
2016-06-01,3.51581
2016-07-01,3.18881
2016-08-01,3.15956
2016-09-01,3.64507
2016-10-01,3.76791
2016-11-01,3.67897
2016-12-01,4.26372
